strategy,regime,sharpe,pnl,trades
macd,bull_2020_q4,0.5496,51.49,59
macd,bull_2021_q1,0.2346,74.55,60
macd,crash_may_2021,-0.3705,-44.28,27
macd,recovery_2021_q3,-0.0470,13.27,64
macd,bear_2022_h1,-0.7096,-133.30,89
macd,sideways_2022_h2,-0.4498,-40.16,77
macd,recovery_2023,0.0922,26.63,83
macd,pre_etf_2023_h2,-0.1328,2.02,102
macd,etf_bull_2024_q1,0.3565,74.40,56
macd,consolidation_2024_q2q3,-0.3345,-54.30,78
mean_reversion,bull_2020_q4,0.3931,4.07,9
mean_reversion,bull_2021_q1,0.2946,31.64,12
mean_reversion,crash_may_2021,-0.3638,-44.85,19
mean_reversion,recovery_2021_q3,-0.1036,-4.45,14
mean_reversion,bear_2022_h1,-0.3494,-36.30,43
mean_reversion,sideways_2022_h2,-0.0755,-1.87,31
mean_reversion,recovery_2023,-0.1731,-7.01,29
mean_reversion,pre_etf_2023_h2,-0.0494,-0.90,30
mean_reversion,etf_bull_2024_q1,0.2736,10.03,11
mean_reversion,consolidation_2024_q2q3,-0.1787,-15.41,38
momentum_breakout,bull_2020_q4,0.4977,68.32,35
momentum_breakout,bull_2021_q1,-0.0078,13.19,35
momentum_breakout,crash_may_2021,-0.2632,-56.67,24
momentum_breakout,recovery_2021_q3,0.1810,86.25,38
momentum_breakout,bear_2022_h1,-0.2929,-83.02,49
momentum_breakout,sideways_2022_h2,-0.1408,-16.98,54
momentum_breakout,recovery_2023,0.0457,27.37,64
momentum_breakout,pre_etf_2023_h2,-0.0510,12.35,61
momentum_breakout,etf_bull_2024_q1,0.3552,102.90,27
momentum_breakout,consolidation_2024_q2q3,-0.2463,-85.36,62
rsi_divergence,bull_2020_q4,0.4082,11.35,1
rsi_divergence,bull_2021_q1,0.7257,77.75,2
rsi_divergence,crash_may_2021,0.1015,20.75,10
rsi_divergence,recovery_2021_q3,0.1398,23.39,10
rsi_divergence,bear_2022_h1,-0.5241,-95.15,16
rsi_divergence,sideways_2022_h2,-0.5419,-43.79,19
rsi_divergence,recovery_2023,0.3006,22.58,11
rsi_divergence,pre_etf_2023_h2,0.0073,-0.18,6
rsi_divergence,etf_bull_2024_q1,0.2291,8.31,2
rsi_divergence,consolidation_2024_q2q3,-0.2640,-46.97,11
sma_crossover,bull_2020_q4,0.5780,60.85,22
sma_crossover,bull_2021_q1,0.2304,92.45,26
sma_crossover,crash_may_2021,-0.3548,-89.08,26
sma_crossover,recovery_2021_q3,0.2732,100.29,27
sma_crossover,bear_2022_h1,-0.0607,-2.49,49
sma_crossover,sideways_2022_h2,-0.1269,-10.70,54
sma_crossover,recovery_2023,0.2104,59.30,51
sma_crossover,pre_etf_2023_h2,-0.6113,-76.96,61
sma_crossover,etf_bull_2024_q1,0.3098,78.16,29
sma_crossover,consolidation_2024_q2q3,-0.3653,-122.68,51
vwap,bull_2020_q4,0.5183,3.95,3
vwap,bull_2021_q1,-0.0249,0.18,22
vwap,crash_may_2021,-0.4092,-178.84,97
vwap,recovery_2021_q3,-0.1350,-15.50,13
vwap,bear_2022_h1,-0.4399,-201.00,144
vwap,sideways_2022_h2,-0.2874,-39.63,115
vwap,recovery_2023,-0.2420,-11.34,5
vwap,pre_etf_2023_h2,-0.3118,-26.42,77
vwap,etf_bull_2024_q1,-0.4947,-46.10,27
vwap,consolidation_2024_q2q3,-0.4482,-239.10,101
